x,y,z
1.41618,0.156994,0.0292699
1.41175,0.151495,0.0291245
1.38743,0.14388,0.0283972
1.37798,0.137996,0.0281063
1.36851,0.132181,0.0278154
1.38268,0.189154,0.0126857
1.38844,0.140784,0.0126857
1.29981,0.226441,0.0402308
1.35893,0.1686,0.0422349
1.37736,0.0738844,0.0426358
1.35847,0.0492039,0.0418341
1.30935,0.0110714,0.03983
1.30439,0.00649958,0.0396295
1.34437,0.00181407,0.0412329
1.33871,0.0664756,-0.00334857
1.33894,0.0618019,-0.00334857
1.33914,0.0571274,-0.00334857
1.33934,0.0524528,-0.00334857
1.33951,0.0477776,-0.00334857
1.33967,0.0431012,-0.00334857
1.33981,0.0384243,-0.00334857
1.33494,0.0335975,-0.00337763
1.33005,0.0288051,-0.00340669
1.33522,0.0196166,-0.00337763
1.34028,0.0150356,-0.00334857
1.34532,0.0101857,-0.00331951
1.35035,0.00529841,-0.00329045
1.34536,0.000558247,-0.00331951
1.34536,-0.00413829,-0.00331951
1.34033,-0.00882535,-0.00334857
1.34029,-0.0135039,-0.00334857
1.34017,-0.0228605,-0.00334857
1.34508,-0.027617,-0.00331951
1.34997,-0.032408,-0.00329045
1.35985,-0.037347,-0.00323233
1.33972,-0.04157,-0.00334857
1.34956,-0.0465429,-0.00329045
1.3492,-0.0559634,-0.00329045
1.39896,-0.0626792,-0.00299986
1.34878,-0.0653811,-0.00329045
1.35853,-0.0705599,-0.00323233
1.35328,-0.0750487,-0.00326139
1.35301,-0.0797721,-0.00326139
1.35273,-0.0844945,-0.00326139
1.35242,-0.0892158,-0.00326139
1.3521,-0.0939361,-0.00326139
1.35177,-0.0986553,-0.00326139
1.35141,-0.103373,-0.00326139
1.35603,-0.108465,-0.00323233
1.35564,-0.113198,-0.00323233
1.36022,-0.118339,-0.00320327
1.3598,-0.123086,-0.00320327
1.35936,-0.127832,-0.00320327
1.35891,-0.132576,-0.00320327
1.35844,-0.137319,-0.00320327
1.35795,-0.14206,-0.00320327
1.3287,-0.0743689,-0.010875
1.33314,-0.0839492,-0.010875
1.33284,-0.0886022,-0.010875
1.33252,-0.0932542,-0.010875
1.33219,-0.097905,-0.010875
1.33184,-0.102555,-0.010875
1.33147,-0.107203,-0.010875
1.33107,-0.112083,-0.010875
1.33521,-0.122051,-0.010875
1.33478,-0.126711,-0.010875
