x,y,z
1.06043,0.0137755,0.0127371
1.06047,0.010074,0.0127371
1.06051,0.00600528,0.0127371
1.06052,0.00230008,0.0127371
1.06552,-0.00140037,0.0128534
1.06551,-0.00511952,0.0128534
1.06548,-0.00883881,0.0128534
1.07045,-0.0126086,0.0129697
1.07039,-0.0163451,0.0129697
1.07033,-0.0200813,0.0129697
1.07025,-0.0238174,0.0129697
1.07017,-0.0275531,0.0129697
1.06507,-0.0311507,0.0128534
1.06495,-0.0348683,0.0128534
1.06482,-0.0385854,0.0128534
1.06468,-0.0423021,0.0128534
1.06453,-0.0460183,0.0128534
1.06425,0.0539265,0.00692645
1.04945,0.049539,0.00666467
1.05461,0.0460824,0.00675193
1.04977,0.0422113,0.00666467
1.0556,0.00556428,0.00675193
1.05561,0.00187938,0.00675193
1.05561,-0.00180542,0.00675193
1.0556,-0.00549017,0.00675193
1.05557,-0.00917486,0.00675193
1.07404,-0.0581761,0.00710098
1.05994,0.0282091,0.00062362
1.06003,0.0245088,0.00062362
1.12165,-0.139658,0.00141663
1.10133,-0.140917,0.00119005
1.08495,-0.150295,0.00102012
